session_id;date;user_id;user_age;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-11876;2026-08-18 17:54:00;USR-1392;19;Standard;8;960;720;Cash;Dota 2;4.5;1
SESS-11777;2026-08-21 23:56:00;USR-1527;20;Bootcamp;4;0;600;Card;CS2;4.5;0
SESS-12145;2026-08-08 18:59:00;USR-1637;25;Bootcamp;12;1060;1800;Card;Minecraft;4.0;0
SESS-12153;2026-08-07 07:55:00;USR-1306;24;Standard;1;120;90;Card;Dota 2;4.5;1
SESS-13176;2026-08-23 22:09:00;USR-1671;15;Standard;8;1600;800;Card;Dota 2;4.5;0
SESS-12117;2026-08-03 02:54:00;USR-1013;23;Standard;2;100;200;Card;Dota 2;5.0;0
SESS-12222;2026-08-18 18:26:00;USR-1780;23;Bootcamp;3;490;450;App;Dota 2;4.5;0
SESS-13961;2026-08-09 14:52:00;USR-1247;21;Standard;3;0;300;App;CS2;4.0;0
SESS-12276;2026-08-22 22:29:00;USR-1526;22;Bootcamp;3;0;450;Card;GTA V;4.0;0
SESS-10297;2026-08-22 16:06:00;USR-1270;34;VIP;2;0;360;Card;CS2;4.0;1
SESS-14140;2026-08-24 14:27:00;USR-1293;20;VIP;1;220;200;Card;Dota 2;4.0;0
SESS-10555;2026-08-08 04:55:00;USR-1097;21;Bootcamp;3;0;450;App;Dota 2;5.0;0
SESS-14174;2026-08-26 06:41:00;USR-1396;17;Bootcamp;2;0;300;Card;Dota 2;4.0;0
SESS-13715;2026-08-24 16:06:00;USR-1591;24;Standard;3;240;300;App;Minecraft;3.0;0
SESS-13098;2026-08-09 11:03:00;USR-1739;24;VIP;2;500;400;Cash;CS2;5.0;0
SESS-10346;2026-08-18 05:52:00;USR-1375;24;Standard;4;0;400;App;CS2;4.5;0
SESS-11786;2026-08-10 04:37:00;USR-1024;26;Standard;3;150;300;Card;Valorant;4.0;0
SESS-15197;2026-08-22 21:43:00;USR-1720;25;Standard;12;1440;1200;Card;Dota 2;4.0;0
SESS-14387;2026-08-14 03:53:00;USR-1409;23;Standard;1;0;100;Card;Valorant;4.5;0
SESS-10079;2026-08-07 01:07:00;USR-1414;22;VIP;1;370;180;Card;Dota 2;1.0;1
SESS-11128;2026-08-28 11:20:00;USR-1691;19;Standard;3;0;300;Card;Dota 2;4.0;0
SESS-12226;2026-08-25 05:16:00;USR-1600;20;VIP;1;150;200;Card;Valorant;4.5;0
SESS-14996;2026-08-22 00:55:00;USR-1143;24;Bootcamp;2;0;300;Card;Dota 2;2.0;0
SESS-13074;2026-08-11 22:30:00;USR-1643;23;Standard;2;100;180;Card;CS2;3.0;1
SESS-12133;2026-08-14 01:02:00;USR-1543;21;Standard;3;0;300;Card;Minecraft;2.0;0
SESS-11822;2026-08-31 04:52:00;USR-1392;19;Bootcamp;4;0;600;Card;Dota 2;4.5;0
SESS-10705;2026-08-11 09:20:00;USR-1124;17;Standard;1;50;100;Card;Dota 2;4.0;0
SESS-15244;2026-08-14 02:56:00;USR-1527;20;Bootcamp;2;200;270;Cash;CS2;2.0;1
SESS-13774;2026-08-09 16:09:00;USR-1503;21;Bootcamp;3;400;450;Card;CS2;4.5;0
SESS-10008;2026-08-29 19:18:00;USR-1118;15;PS5;2;400;500;App;Dota 2;5.0;0
SESS-15130;2026-08-16 03:22:00;USR-1447;25;Bootcamp;1;0;150;App;CS2;5.0;0
SESS-10800;2026-08-23 05:39:00;USR-1717;15;Standard;2;0;200;App;CS2;4.0;0
SESS-10410;2026-08-30 14:20:00;USR-1318;24;Bootcamp;1;0;150;Card;CS2;4.0;0
SESS-13164;2026-08-03 04:26:00;USR-1781;21;Standard;3;0;300;Card;Dota 2;4.0;0
SESS-10401;2026-08-10 03:13:00;USR-1214;23;Standard;1;0;100;;Dota 2;4.0;0
SESS-11038;2026-08-16 08:01:00;USR-1609;16;Standard;1;0;100;App;CS2;1.0;0
SESS-10742;2026-08-19 17:15:00;USR-1075;33;Standard;2;0;200;App;Deadlock;5.0;0
SESS-13752;2026-08-01 05:03:00;USR-1023;17;Standard;8;640;800;Card;Dota 2;5.0;0
SESS-14280;2026-08-24 08:21:00;USR-1484;17;Standard;3;0;270;App;Valorant;4.0;1
SESS-14529;2026-08-13 09:44:00;USR-1730;30;Standard;3;0;300;Card;CS2;3.0;0
SESS-10530;2026-08-16 15:31:00;USR-1383;27;VIP;1;0;200;Cash;CS2;4.0;0
SESS-13848;2026-08-22 12:30:00;USR-1595;32;VIP;2;0;400;Cash;CS2;4.0;0
SESS-11616;2026-08-08 11:15:00;USR-1353;18;VIP;3;490;600;Card;Deadlock;4.5;0
SESS-14471;2026-08-06 21:41:00;USR-1426;22;PS5;2;0;500;Card;CS2;4.5;0
SESS-12072;2026-08-10 05:08:00;USR-1380;23;Standard;1;80;100;Card;CS2;4.5;0
SESS-13917;2026-08-26 15:35:00;USR-1482;15;VIP;3;490;600;App;CS2;5.0;0
SESS-10865;2026-08-14 03:12:00;USR-1282;26;Standard;1;0;100;Cash;CS2;4.5;0
SESS-13204;2026-08-29 04:44:00;USR-1279;31;Standard;2;100;200;App;Minecraft;2.0;0
SESS-12223;2026-08-04 22:12:00;USR-1277;40;Bootcamp;3;0;450;Card;Deadlock;5.0;0
SESS-13372;2026-08-25 12:37:00;USR-1788;33;Standard;2;400;200;Card;CS2;4.5;0
SESS-14556;2026-08-10 07:48:00;USR-1019;25;PS5;3;600;750;Card;Minecraft;4.5;0
SESS-14319;2026-08-05 03:40:00;USR-1574;15;Bootcamp;2;0;300;Card;CS2;4.0;0
SESS-13297;2026-08-25 15:22:00;USR-1729;25;Standard;3;0;270;Card;CS2;5.0;1
SESS-14083;2026-08-07 20:31:00;USR-1336;14;VIP;2;0;360;App;CS2;5.0;1
SESS-10877;2026-08-13 15:24:00;USR-1552;21;Bootcamp;2;410;300;App;Valorant;5.0;0
SESS-13795;2026-08-16 00:34:00;USR-1172;25;PS5;12;0;3000;App;CS2;4.0;0
SESS-10132;2026-08-06 04:46:00;USR-1733;17;Standard;4;800;400;Card;Minecraft;5.0;0
SESS-13837;2026-08-26 01:06:00;USR-1581;15;Bootcamp;2;0;300;Card;Dota 2;4.0;0
SESS-15150;2026-08-22 01:21:00;USR-1016;19;Bootcamp;5;500;750;App;CS2;4.5;0
SESS-14627;2026-08-15 11:01:00;USR-1209;24;Standard;2;0;180;Card;Dota 2;3.0;1
SESS-10505;2026-08-15 03:33:00;USR-1184;15;Standard;3;360;300;Card;CS2;4.0;0
SESS-12464;2026-08-09 23:29:00;USR-1198;31;Bootcamp;1;0;150;App;Valorant;4.0;0
SESS-12440;2026-08-06 00:21:00;USR-1449;32;VIP;5;700;900;Card;Valorant;5.0;1
SESS-14310;2026-08-04 13:13:00;USR-1245;23;VIP;4;0;720;Cash;GTA V;5.0;1
SESS-10296;2026-08-22 04:40:00;USR-1065;20;Bootcamp;1;300;150;Card;CS2;4.5;0
SESS-14329;2026-08-25 01:44:00;USR-1409;23;Bootcamp;3;0;450;Card;CS2;4.5;0
SESS-10371;2026-08-19 20:14:00;USR-1669;20;Standard;12;0;1200;Card;CS2;4.0;0
SESS-14757;2026-08-31 14:29:00;USR-1651;22;Standard;4;0;360;Card;CS2;5.0;1
SESS-11919;2026-08-14 07:29:00;USR-1418;39;Standard;12;0;1200;Card;CS2;4.0;0
SESS-11514;2026-08-07 06:28:00;USR-1134;16;Bootcamp;2;0;300;Card;CS2;4.5;0
SESS-14615;2026-08-20 16:14:00;USR-1225;19;Bootcamp;2;0;300;App;PUBG;2.0;0
SESS-14386;2026-08-06 06:53:00;USR-1236;19;VIP;12;2500;2400;Card;Deadlock;4.5;0
SESS-15072;2026-08-01 01:09:00;USR-1694;20;VIP;2;0;360;Card;CS2;5.0;1
SESS-14945;2026-08-03 17:13:00;USR-1668;26;PS5;2;100;500;Card;Dota 2;5.0;0
SESS-14325;2026-08-03 14:56:00;USR-1058;23;Bootcamp;1;220;150;Card;Apex Legends;5.0;0
SESS-10696;2026-08-29 03:25:00;USR-1435;17;Standard;2;100;200;Cash;Dota 2;4.0;0
SESS-11483;2026-08-10 16:53:00;USR-1710;35;Standard;3;0;270;Card;CS2;1.0;1
SESS-13898;2026-08-04 18:36:00;USR-1395;19;VIP;1;0;200;Cash;CS2;5.0;0
SESS-14697;2026-08-25 07:14:00;USR-1254;14;PS5;3;0;750;Card;Valorant;4.0;0
SESS-11870;2026-08-21 10:10:00;USR-1729;25;Standard;2;0;200;Card;CS2;2.0;0
SESS-13509;2026-08-22 01:34:00;USR-1291;18;Standard;1;0;100;App;Dota 2;3.0;0
SESS-10881;2026-08-14 17:48:00;USR-1221;21;VIP;3;340;540;Card;Dota 2;5.0;1
SESS-12917;2026-08-10 01:37:00;USR-1466;23; Bootcamp ;1;0;90;App;Browser/Work;3.0;1
SESS-11261;2026-08-27 07:09:00;USR-1134;16;Bootcamp;1;0;135;Card;GTA V;2.0;1
SESS-11224;2026-08-06 02:57:00;USR-1140;16;Standard;1;0;90;Card;CS2;5.0;1
SESS-10168;2026-08-28 04:20:00;USR-1294;25;PS5;2;0;450;Cash;CS2;4.0;1
SESS-12164;2026-08-12 19:22:00;USR-1026;25;Standard;1;0;90;Card;Minecraft;4.0;1
SESS-11361;2026-08-31 20:17:00;USR-1731;17;VIP;3;0;540;Card;CS2;4.5;1
SESS-14098;2026-08-12 04:17:00;USR-1167;17;Standard;2;0;180;Cash;Minecraft;4.5;1
SESS-10023;2026-08-31 19:31:00;USR-1483;17;Standard;1;0;90;Card;CS2;4.0;1
SESS-14149;2026-08-23 13:51:00;USR-1076;35;PS5;1;0;250;Cash;Valorant;4.0;0
SESS-14129;2026-08-03 14:07:00;USR-1405;25;PS5;4;320;1000;Card;CS2;5.0;0
SESS-10798;2026-08-20 04:37:00;USR-1004;25;Standard;3;0;300;Card;Minecraft;3.0;0
SESS-15184;2026-08-12 03:15:00;USR-1426;22;Standard;4;0;400;Card;Dota 2;4.5;0
SESS-11374;2026-08-29 03:00:00;USR-1602;19;Bootcamp;3;400;405;Card;Valorant;4.0;1
SESS-14508;2026-08-20 08:22:00;USR-1238;20;Standard;2;0;200;Cash;Apex Legends;3.0;0
SESS-12275;2026-08-18 14:25:00;USR-1592;21;Standard;12;2400;1200;Card;CS2;4.0;0
SESS-11550;2026-08-01 10:01:00;USR-1049;22;VIP;3;0;600;Card;CS2;4.0;0
SESS-12057;2026-08-18 04:17:00;USR-1529;29;Bootcamp;3;0;450;Card;Dota 2;4.0;0
SESS-12328;2026-08-27 01:45:00;USR-1595;32;PS5;5;0;1250;App;CS2;2.0;0
SESS-11773;2026-08-08 12:52:00;USR-1735;16;VIP;2;0;360;Card;PUBG;2.0;1
SESS-14917;2026-08-29 17:02:00;USR-1279;31;PS5;1;80;250;Card;Valorant;4.0;0
SESS-11553;2026-08-18 23:16:00;USR-1088;29;Standard;4;0;360;Card;Dota 2;4.0;1
SESS-10625;2026-08-04 03:59:00;USR-1600;20;Standard;2;400;200;Card;Minecraft;1.0;0
SESS-14982;2026-08-04 01:04:00;USR-1315;17;Bootcamp;3;460;450;Card;GTA V;2.0;0
SESS-14839;2026-08-30 06:03:00;USR-1347;24;Standard;2;0;200;Card;Apex Legends;3.0;0
SESS-11729;2026-08-13 15:50:00;USR-1661;22;PS5;5;1000;1250;App;Valorant;5.0;0
SESS-15340;2026-08-07 23:51:00;USR-1449;32;Bootcamp;1;0;150;Card;Valorant;2.0;0
SESS-14760;2026-08-09 00:33:00;USR-1618;17;VIP;8;0;1440;Card;Minecraft;5.0;1
SESS-11503;2026-08-07 03:23:00;USR-1095;16;VIP;2;0;400;Card;Dota 2;5.0;0
SESS-13518;2026-08-27 01:01:00;USR-1299;21;Standard;3;0;300;Cash;CS2;3.0;0
SESS-13482;2026-08-06 23:52:00;USR-1386;29;VIP;1;370;200;Card;Valorant;5.0;0
SESS-11779;2026-08-05 21:37:00;USR-1512;25;Standard;1;0;100;Card;Dota 2;4.0;0
SESS-14019;2026-08-16 01:03:00;USR-1641;24;VIP;3;700;600;Card;PUBG;4.0;0
SESS-10333;2026-08-27 14:39:00;USR-1099;18;Bootcamp;4;0;600;Cash;CS2;1.0;0
SESS-13861;2026-08-22 16:51:00;USR-1577;24;Bootcamp;8;740;1080;Card;CS2;4.5;1
SESS-14464;2026-08-21 04:21:00;USR-1189;31;Standard;3;360;300;App;Deadlock;5.0;0
SESS-12569;2026-08-19 02:36:00;USR-1081;15;PS5;5;400;1250;Card;Minecraft;4.0;0
SESS-11765;2026-08-28 21:18:00;USR-1045;19;Bootcamp;3;0;450;Cash;CS2;4.0;0
SESS-10838;2026-08-22 16:54:00;USR-1348;15;Bootcamp;1;300;135;Card;Dota 2;2.0;1
SESS-14195;2026-08-25 01:11:00;USR-1147;16;PS5;3;600;750;Card;CS2;4.0;0
SESS-13590;2026-08-13 13:59:00;USR-1553;22;VIP;1;0;200;App;Valorant;5.0;0
SESS-14371;2026-08-31 02:39:00;USR-1264;16;VIP;3;0;600;Card;CS2;4.5;0
SESS-14081;2026-08-16 07:24:00;USR-1754;19;VIP;5;850;900;Card;Dota 2;5.0;1
SESS-10577;2026-08-29 22:04:00;USR-1481;21;Standard;1;80;100;App;CS2;4.0;0
SESS-10655;2026-08-01 14:15:00;USR-1171;18;Standard;3;0;300;Cash;Valorant;5.0;0
SESS-10426;2026-08-21 21:13:00;USR-1619;18;Bootcamp;1;180;150;Card;Deadlock;5.0;0
SESS-10747;2026-08-17 23:46:00;USR-1394;19;Standard;3;0;300;Card;Dota 2;5.0;0
SESS-15128;2026-08-31 06:39:00;USR-1508;14;Standard;1;0;100;App;CS2;1.0;0
SESS-13682;2026-08-03 05:50:00;USR-1074;16;Standard;2;0;200;App;PUBG;4.5;0
SESS-11957;2026-08-05 01:30:00;USR-1428;24;VIP;2;650;400;Card;CS2;4.5;0
SESS-13889;2026-08-11 08:05:00;USR-1461;36;Standard;3;600;300;Card;CS2;2.0;0
SESS-12550;2026-08-14 23:32:00;USR-1046;17;Bootcamp;3;0;450;Card;CS2;2.0;0
SESS-14986;2026-08-23 22:36:00;USR-1560;22;Standard;4;0;360;App;CS2;4.0;1
SESS-12316;2026-08-09 06:07:00;USR-1403;21;Bootcamp;1;0;150;Card;Dota 2;4.5;0
SESS-10230;2026-08-26 16:28:00;USR-1477;24;VIP;2;0;360;Card;CS2;4.5;1
SESS-10319;2026-08-08 14:58:00;USR-1217;23;Standard;3;0;300;Card;GTA V;4.0;0
SESS-13352;2026-08-01 13:54:00;USR-1546;21;Bootcamp;3;340;450;Card;CS2;3.0;0
SESS-10764;2026-08-18 01:10:00;USR-1387;15;Standard;3;240;300;Card;CS2;4.5;0
SESS-11188;2026-08-17 22:57:00;USR-1355;28;Bootcamp;3;400;450;Card;Apex Legends;5.0;0
SESS-12842;2026-08-11 12:32:00;USR-1102;18;Standard;12;0;1200;App;CS2;4.0;0
SESS-13185;2026-08-02 10:20:00;USR-1355;28;PS5;3;360;750;Card;Dota 2;5.0;0
SESS-14342;2026-08-14 15:51:00;USR-1412;32;Standard;4;320;400;Card;Dota 2;5.0;0
SESS-13542;2026-08-03 04:56:00;USR-1167;17;VIP;2;0;400;Cash;CS2;3.0;0
SESS-14244;2026-08-19 02:50:00;USR-1356;19;Standard;4;0;400;Card;Dota 2;4.0;0
SESS-11720;2026-08-31 23:53:00;USR-1752;18;Standard;4;0;400;Cash;PUBG;3.0;0
SESS-15327;2026-08-13 20:47:00;USR-1114;23;PS5;3;150;750;Card;PUBG;2.0;0
SESS-13129;2026-08-09 12:18:00;USR-1665;24;VIP;2;0;360;Card;CS2;5.0;1
SESS-11921;2026-08-28 07:20:00;USR-1385;19;Standard;4;480;360;Card;Minecraft;4.0;1
SESS-14539;2026-08-29 08:40:00;USR-1741;21;PS5;3;0;750;App;Minecraft;4.5;0
SESS-11543;2026-08-21 01:07:00;USR-1280;26;Bootcamp;2;410;300;Card;CS2;4.0;0
SESS-13321;2026-08-02 09:22:00;USR-1423;24;Standard;2;0;200;App;Dota 2;4.5;0
SESS-12813;2026-08-25 22:08:00;USR-1126;23;Standard;4;480;400;Cash;Dota 2;5.0;0
SESS-11907;2026-08-06 21:57:00;USR-1698;15;Bootcamp;2;0;300;Cash;Minecraft;3.0;0
SESS-14814;2026-08-17 08:47:00;USR-1500;23;Standard;2;0;200;Card;Minecraft;5.0;0
SESS-10893;2026-08-13 20:12:00;USR-1039;35;Standard;4;800;400;Card;GTA V;;0
SESS-13947;2026-08-04 22:57:00;USR-1428;24;PS5;2;0;500;Card;GTA V;5.0;0
SESS-15351;2026-08-30 00:54:00;USR-1081;15;Standard;12;0;1200;App;Browser/Work;4.5;0
SESS-11578;2026-08-24 19:10:00;USR-1097;21;VIP;5;650;1000;Cash;Dota 2;4.5;0
SESS-12225;2026-08-25 23:17:00;USR-1019;25;Standard;4;0;400;Card;CS2;3.0;0
SESS-11173;2026-08-06 03:35:00;USR-1796;36;VIP;3;250;600;App;CS2;4.5;0
SESS-10724;2026-08-14 07:34:00;USR-1352;22;Standard;12;0;1200;Card;CS2;4.5;0
SESS-13034;2026-08-16 18:58:00;USR-1334;14;Standard;3;0;300;Card;Minecraft;2.0;0
SESS-13206;2026-08-18 03:44:00;USR-1732;28;Standard;2;0;200;Card;CS2;1.0;0
SESS-11893;2026-08-05 04:25:00;USR-1233;28;Standard;3;0;300;Card;PUBG;5.0;0
SESS-14241;2026-08-16 10:14:00;USR-1475;26;Standard;2;240;200;App;Valorant;5.0;0
SESS-11379;2026-08-13 03:30:00;USR-1179;19;Standard;4;0;360;App;Minecraft;4.5;1
SESS-10080;2026-08-14 01:44:00;USR-1302;27;PS5;8;0;2000;Card;PUBG;4.0;0
SESS-12342;2026-08-02 23:38:00;USR-1405;25;Standard;5;0;500;Card;Dota 2;1.0;0
SESS-13207;2026-08-29 03:51:00;USR-1607;14;Standard;1;0;100;Card;Valorant;4.0;0
SESS-12694;2026-08-05 09:35:00;USR-1576;19;Standard;3;240;300;Card;Valorant;5.0;0
SESS-14722;2026-08-02 05:16:00;USR-1444;18;Standard;5;1000;500;Card;Valorant;4.0;0
SESS-12518;2026-08-11 09:11:00;USR-1041;20;Standard;3;0;300;Card;Dota 2;3.0;0
SESS-11334;2026-08-27 02:37:00;USR-1192;30;Standard;2;0;200;Card;Valorant;4.0;0
SESS-11129;2026-08-05 18:00:00;USR-1153;24;VIP;5;0;1000;App;Dota 2;4.5;0
SESS-14441;2026-08-25 23:47:00;USR-1289;19;Standard;2;0;200;App;Valorant;4.5;0
SESS-12605;2026-08-05 08:54:00;USR-1669;20;Standard;3;0;300;App;GTA V;4.0;0
SESS-12623;2026-08-19 21:37:00;USR-1305;24;Standard;2;240;200;Card;Apex Legends;3.0;0
SESS-11534;2026-08-08 10:34:00;USR-1551;17;Standard;1;80;100;App;CS2;4.0;0
SESS-14913;2026-08-15 00:59:00;USR-1345;21;VIP;5;0;1000;Card;CS2;4.0;0
SESS-11934;2026-08-05 16:05:00;USR-1366;18;Standard;2;100;200;App;Apex Legends;5.0;0
SESS-13483;2026-08-08 04:11:00;USR-1499;17;Bootcamp;4;580;540;Card;Deadlock;2.0;1
SESS-13007;2026-08-20 14:25:00;USR-1778;17;Standard;3;0;300;Card;Valorant;4.5;0
SESS-15280;2026-08-04 21:06:00;USR-1333;23;VIP;2;0;400;Cash;Deadlock;3.0;0
SESS-12784;2026-08-16 01:28:00;USR-1240;26;Bootcamp;3;0;450;App;CS2;4.0;0
SESS-10439;2026-08-28 13:36:00;USR-1215;15;Standard;4;200;360;Card;Valorant;5.0;1
SESS-14182;2026-08-06 10:46:00;USR-1530;20;VIP;2;0;400;Card;CS2;3.0;0
SESS-14959;2026-08-12 12:30:00;USR-1601;30;Bootcamp;2;0;300;App;CS2;2.0;0
SESS-10584;2026-08-27 02:16:00;USR-1749;15;Bootcamp;2;500;270;App;Dota 2;5.0;1
SESS-11436;2026-08-19 12:35:00;USR-1194;26;Bootcamp;1;0;150;Card;Dota 2;4.0;0
SESS-11862;2026-08-04 15:49:00;USR-1625;15;Bootcamp;2;0;300;Card;CS2;4.0;0
SESS-11942;2026-08-03 22:30:00;USR-1268;31;Standard;1;0;100;Card;Valorant;5.0;0
SESS-10290;2026-08-22 04:18:00;USR-1201;24;PS5;5;0;1250;Card;Valorant;4.5;0
SESS-15274;2026-08-31 08:14:00;USR-1752;18;Standard;1;120;100;Card;CS2;5.0;0
SESS-10926;2026-08-25 00:25:00;USR-1094;29;PS5;4;200;1000;Card;Minecraft;4.5;0
SESS-10315;2026-08-23 06:16:00;USR-1790;34;Standard;5;1000;500;Card;CS2;3.0;0
SESS-13000;2026-08-28 10:58:00;USR-1469;16;Standard;2;100;200;Card;Dota 2;4.5;0
SESS-10911;2026-08-04 09:43:00;USR-1545;26;Standard;1;120;100;Card;Valorant;5.0;0
SESS-13828;2026-08-15 01:57:00;USR-1409;23;PS5;12;0;3000;Card;Minecraft;3.0;0
SESS-13151;2026-08-21 16:15:00;USR-1608;27;Standard;1;80;100;Card;Dota 2;4.5;0
SESS-14512;2026-08-08 11:53:00;USR-1162;17;Standard;2;0;200;Card;Apex Legends;4.0;0
SESS-11295;2026-08-04 01:53:00;USR-1144;20;Standard;2;0;180;Card;Valorant;4.0;1
SESS-14477;2026-08-14 10:55:00;USR-1288;16;Bootcamp;2;410;300;Card;Dota 2;4.5;0
SESS-13379;2026-08-13 06:40:00;USR-1677;27;Standard;2;0;180;Card;Valorant;4.0;1
SESS-13101;2026-08-15 22:53:00;USR-1770;18;Bootcamp;3;0;450;App;CS2;4.0;0
